TYPE	OCC	ZOOM
standard_hd	1	17
public_transport_hd	1	17
standard_hd	2	17
traffic_hd	1	8
standard	1	19
standard_hd	1	12
standard	1	8
standard_hd	1	12
public_transport_hd	3	17
standard_hd	1	16
standard	1	15
standard_hd	1	16
standard	1	15
standard_hd	1	15
standard	1	15
public_transport_hd	1	17
standard_hd	1	19
public_transport_hd	1	17
standard	3	15,14,12
photo	2	19
standard_hd	1	19
public_transport_hd	1	17
standard	2	14,12
traffic_hd	1	10
photo	1	12
standard	1	17
photo	1	19
standard_hd	8	16,15,19,12
standard	1	17
traffic_hd	1	13
standard_hd	2	16
standard	1	16
public_transport_hd	1	17
standard_hd	1	16
traffic	1	14
standard_hd	1	15
traffic_hd	1	14
standard	1	8
standard_hd	1	16
traffic_hd	1	15
standard_hd	4	15,16
standard	1	19
public_transport_hd	3	17
standard_hd	2	19,15
photo	1	19
standard_hd	3	16,17,15
public_transport_hd	1	17
photo	1	11
standard_hd	1	17
public_transport_hd	1	17
standard	1	15
standard_hd	4	19,17
standard	2	13,19
standard_hd	1	16
standard	1	19
standard_hd	1	16
standard	1	13
standard_hd	3	13,16
standard	1	19
standard_hd	2	16
standard	1	19
standard_hd	3	15,16
photo	1	17
standard_hd	1	15
photo	1	19
standard_hd	1	17
traffic	1	10
photo	1	19
standard_hd	1	15
photo	2	10,18
standard_hd	1	16
photo	5	18,10,19
standard_hd	1	15
photo	1	18
standard_hd	1	19
photo	1	18
standard	1	19
photo	2	18,19
standard_hd	4	15
photo	2	11
standard_hd	1	17
photo	1	18
standard	2	14
photo	1	17
traffic	1	11
standard	1	16
photo	1	17
standard_hd	5	18,15,17
public_transport_hd	2	17
standard_hd	3	15,11
photo	1	17
standard_hd	1	11
public_transport_hd	1	17
standard_hd	1	11
public_transport_hd	1	17
standard_hd	2	15
traffic_hd	1	14
standard_hd	2	17,11
traffic_hd	1	14
standard_hd	5	15,11,16
standard	1	19
standard_hd	2	11
standard	1	10
traffic	1	12
standard	1	10
photo	1	9
standard	2	10
photo	1	12
traffic_hd	1	8
standard_hd	1	12
photo	1	9
standard	1	15
traffic	1	12
standard	1	19
traffic_hd	1	10
traffic	1	12
standard_hd	1	16
photo	2	16,9
traffic_hd	1	12
standard_hd	1	17
photo	1	9
standard_hd	1	13
photo	2	19
standard	1	14
photo	3	19,8
standard	1	19
photo	2	12,15
standard	2	17,19
photo	1	8
standard	2	17,19
photo	1	8
standard_hd	1	19
photo	1	8
standard	1	14
traffic_hd	1	18
standard_hd	1	11
photo	1	15
standard_hd	1	14
photo	1	15
standard_hd	1	16
traffic_hd	1	18
standard	1	19
photo	3	18,19
standard_hd	1	15
photo	1	19
standard	2	16,19
photo	2	8,19
standard_hd	1	14
standard	5	13,16,10,19
photo	1	7
standard	3	19
photo	2	7
hybrid	1	7
photo	1	7
hybrid	1	7
photo	4	7
traffic_hd	1	18
standard	1	19
standard_hd	2	18,17
standard	1	17
standard_hd	2	17,11
standard	2	16
standard_hd	1	5
hybrid	1	7
standard	1	15
standard_hd	2	16,18
photo	1	14
standard	1	15
standard_hd	3	15,16,18
photo	1	19
standard	1	19
photo	1	19
standard	1	5
photo	1	19
standard_hd	2	15,18
standard	1	14
photo	2	15,19
traffic_hd	1	6
standard_hd	1	13
photo	1	19
traffic_hd	1	6
standard	1	16
photo	1	19
standard	2	18,19
photo	4	11,19
standard	1	14
photo	1	6
standard	2	19,15
standard_hd	2	16,11
photo	2	18
standard_hd	1	16
photo	3	18
standard	1	15
photo	3	18
standard	1	17
standard_hd	2	19
public_transport_hd	1	17
traffic_hd	1	18
standard_hd	6	14,19
standard	1	8
photo	1	11
standard_hd	1	19
standard	3	15,14
traffic	1	8
photo	1	11
standard_hd	1	14
standard	1	19
photo	1	19
standard_hd	3	19,15
traffic_hd	1	8
standard	3	19,15
traffic_hd	1	8
photo	2	18
traffic	1	17
standard_hd	1	19
photo	1	18
standard_hd	2	19
traffic_hd	1	6
standard_hd	1	18
traffic_hd	1	6
traffic	1	17
standard_hd	1	18
photo	1	15
standard_hd	1	16
photo	2	15,6
standard_hd	4	15,17
standard	2	19,15
standard_hd	4	15,19
standard	2	14,18
photo	1	19
standard_hd	1	17
traffic	1	17
standard_hd	4	17,19,15
standard	2	6,14
standard_hd	1	15
standard	3	19,14
traffic	1	8
traffic_hd	1	18
standard	3	14,6
traffic_hd	1	18
standard_hd	1	14
standard	2	14
standard_hd	5	17,12
standard	1	16
traffic_hd	2	7
standard_hd	3	16
traffic	1	18
standard	2	17
standard_hd	4	12,16
standard	1	14
traffic_hd	1	18
standard	1	16
traffic_hd	1	8
standard	1	16
standard_hd	1	18
photo	1	18
standard_hd	2	14,18
photo	1	18
standard	2	14
standard_hd	1	19
traffic_hd	1	8
standard_hd	1	18
standard	2	17,14
traffic_hd	1	16
standard_hd	1	15
traffic_hd	1	12
standard_hd	4	18,15,16
photo	1	14
traffic_hd	1	16
standard_hd	2	15,18
photo	2	14
standard_hd	1	14
traffic_hd	1	11
standard_hd	5	17,16,18,19
traffic_hd	1	16
standard_hd	1	7
photo	1	19
standard_hd	1	18
photo	1	19
hybrid	1	7
standard_hd	1	14
traffic_hd	2	11
standard_hd	1	14
photo	2	15
standard_hd	1	14
standard	1	14
standard_hd	3	14
photo	1	11
standard_hd	2	14,15
traffic_hd	1	16
standard	1	19
traffic	1	12
standard	1	16
traffic	1	12
traffic_hd	1	13
standard_hd	1	15
traffic	1	12
standard	1	19
standard_hd	2	19,15
traffic_hd	1	16
standard	3	19,14,18
standard_hd	1	16
standard	1	16
standard_hd	1	10
traffic	1	12
standard_hd	1	15
traffic_hd	1	16
standard_hd	3	15,10,17
standard	1	16
photo	2	18,19
hybrid	1	7
standard_hd	3	17,10
standard	1	16
traffic_hd	1	16
standard_hd	1	10
traffic_hd	1	16
standard	1	15
standard_hd	1	10
standard	1	19
traffic_hd	1	11
standard	1	15
traffic_hd	1	16
photo	3	17,11
standard_hd	1	10
standard	1	19
standard_hd	1	12
standard	3	19,14
standard_hd	1	17
traffic_hd	1	18
